time gx gy gz
2262483824398 12.841251 9.040766 7.505898
2262503876221 15.400074 -4.286764 6.205249
2262523897523 12.119023 0.749791 7.603899
2262543905805 10.088689 9.098289 6.210575
2262563927107 8.440640 9.388032 4.901403
2262583945753 5.512315 7.223478 4.075715
2262603967107 3.305019 3.960536 1.981467
2262624001169 1.800910 0.784944 -0.674293
2262644022523 -0.269903 0.271501 -2.298773
2262664017315 -1.843386 0.271501 -2.664148
2262684038669 -2.150173 -0.809710 -2.466014
2262704101638 -2.035128 -2.385190 -2.142184
2262724122992 -1.964822 -3.773322 -1.978138
2262744096378 -1.609035 -5.282757 -2.370143
2262764117732 -1.609035 -5.692872 -2.892108
2262784191325 -2.466547 -4.275046 -2.777062
2262804212680 -2.877727 -2.714480 -2.123009
2262824203409 -2.263088 -2.594109 -1.577610
2262844224711 -1.634600 -3.578384 -1.382672
2262864233305 -1.519555 -5.006862 -1.345389
2262884254607 -1.639926 -6.215901 -1.489196
2262904297159 -1.931800 -6.744256 -1.504109
2262924318461 -2.112890 -7.747839 -1.114234
2262944364607 -1.166963 -9.521452 -0.698793
2262964385909 1.039268 -10.450336 0.005326
2262984418513 3.189973 -9.587497 1.146324
2263004439867 4.253209 -7.821341 1.695984
2263024462211 3.667198 -5.226299 1.556439
2263044483669 1.804105 -1.450981 1.341262
2263064478825 0.149798 2.018483 0.930082
2263084500284 -0.113314 3.170134 0.383617
2263104535336 0.440607 1.981200 -0.067110
2263124556794 0.910375 0.228892 -0.496399
2263144546690 1.032877 -0.825689 -0.874556
2263164568148 0.723959 -0.854450 -0.977884
2263184598669 0.225430 -0.356986 -0.950188
2263204620128 0.031558 -0.289877 -0.940601
2263224640857 0.221169 -0.740470 -0.952318
2263244662315 0.633414 -1.484003 -0.934209
2263264674190 1.012637 -2.085859 -0.833012
2263284695648 1.103182 -2.159360 -0.675358
2263304726690 0.827287 -1.661897 -0.573095
2263324748200 0.369236 -0.948191 -0.643401
2263344761273 0.060319 -0.551924 -0.809577
2263364782732 -0.012117 -0.617968 -0.946992
2263384814919 0.076297 -0.971626 -1.041798
2263404836430 0.103993 -1.196390 -1.156843
2263424832784 -0.028096 -1.188933 -1.267627
2263444854242 -0.172967 -1.118628 -1.310237
2263464913148 -0.279491 -0.997191 -1.299584
2263484934607 -0.358318 -0.874689 -1.328346
2263504933513 -0.330622 -1.005713 -1.387999
2263524954971 -0.244338 -1.226216 -1.331541
2263544963565 -0.213446 -1.301848 -1.138734
2263564985023 -0.306121 -1.177216 -0.994928
2263585012107 -0.406253 -1.087736 -0.954449
2263605033617 -0.394536 -1.393458 -0.924622
2263625085700 -0.427558 -1.812095 -0.788272
2263645107159 -0.607582 -1.827008 -0.572030
2263665108617 -0.934742 -1.293326 -0.210916
2263685130128 -1.768819 -0.088547 0.653121
2263705160128 -3.881176 2.317947 2.443778
2263725181586 -7.285794 6.133612 5.250800
2263745172784 -10.211058 10.516113 9.078182
2263765194242 -9.990421 13.289048 13.512880
2263785219763 -5.342809 13.995297 16.202726
2263805241273 3.121799 13.051501 12.875871
2263825299242 9.164066 8.702022 4.240826
2263845320700 7.230536 0.987338 -1.237801
2263865340805 4.279840 -4.428440 -0.810642
2263885362315 3.649089 -4.722445 -0.973623
2263905361273 3.806743 -3.611406 -3.351223
2263925382732 2.572138 -4.072652 -5.335886
2263945425544 1.692256 -7.026543 -6.581143
2263965447003 2.729793 -10.034895 -6.884734
2263985447471 4.431103 -10.613317 -6.522555
2264005468982 5.625229 -9.927306 -5.995265
2264025494555 5.789275 -10.006133 -4.540023
2264045515857 5.132026 -9.754738 -2.389318
2264065526013 1.519688 -5.658784 1.534069
2264085547367 -6.103386 1.344191 8.191908
2264105571378 -12.109303 6.317897 15.215256
2264125592680 -13.023273 9.683102 20.792950
2264145642367 -7.551037 18.196711 20.759928
2264165663669 3.506348 23.663618 12.128078
